,Total Run Score,Total Discards Used,Total Cards Played,Best Hand Score,Hand played for Best Hand Score,Rounds Won,Rounds Played,Antes Won,Run Average Score,Average Discards,Flush Count,Four of a Kind Count,Full House Count,High Card Count,Pair Count,Straight Count,Straight Flush Count,Three of a Kind Count,Two Pair Count
0,344.0,1.0,17.0,344,Full House,1,2,0,344.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0
0,868.0,0.0,32.0,372,Full House,2,3,0,434.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,3.0
0,1656.0,6.0,48.0,360,Full House,3,4,1,552.0,2.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,1.0,6.0
0,1268.0,4.0,28.0,644,Four of a Kind,2,3,0,634.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,3.0
0,1896.0,4.0,54.0,368,Full House,3,4,1,632.0,1.3,2.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,6.0
0,4063.0,7.0,69.0,1176,Straight Flush,5,6,1,812.6,1.4,3.0,0.0,2.0,1.0,1.0,1.0,1.0,5.0,4.0
0,1724.0,1.0,56.0,372,Full House,3,4,1,574.7,0.3,2.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,7.0
0,1724.0,6.0,49.0,356,Full House,3,4,1,574.7,2.0,2.0,0.0,3.0,0.0,2.0,1.0,0.0,1.0,3.0
0,1815.0,3.0,43.0,700,Four of a Kind,3,4,1,605.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,3.0
0,1009.0,4.0,36.0,324,Straight,2,3,0,504.5,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,5.0
0,1820.0,4.0,52.0,344,Full House,3,4,1,606.7,1.3,1.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,5.0
0,1020.0,3.0,30.0,324,Full House,2,3,0,510.0,1.5,0.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,3.0
0,2617.0,7.0,68.0,332,Flush,4,5,1,654.2,1.8,2.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,5.0
0,1056.0,1.0,27.0,308,Straight,2,3,0,528.0,0.5,0.0,0.0,1.0,4.0,0.0,2.0,0.0,0.0,2.0
0,400.0,2.0,18.0,296,Flush,1,2,0,400.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0
0,412.0,0.0,22.0,324,Straight,1,2,0,412.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0
0,1508.0,3.0,45.0,324,Straight,3,4,1,502.7,1.0,2.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,4.0
0,884.0,6.0,35.0,324,Straight,2,3,0,442.0,3.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,4.0
0,2765.0,4.0,75.0,372,Full House,4,5,1,691.2,1.0,3.0,0.0,4.0,0.0,1.0,0.0,0.0,2.0,8.0
0,1520.0,6.0,54.0,324,Straight,3,4,1,506.7,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,10.0
0,1128.0,1.0,32.0,296,Flush,2,3,0,564.0,0.5,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
0,1702.0,2.0,48.0,360,Full House,3,4,1,567.3,0.7,1.0,0.0,2.0,0.0,2.0,2.0,0.0,1.0,4.0
0,900.0,4.0,44.0,324,Straight,2,3,0,450.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,9.0
0,812.0,2.0,37.0,260,Straight,2,3,0,406.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,7.0
0,396.0,1.0,21.0,292,Flush,1,2,0,396.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0
0,1860.0,3.0,55.0,360,Full House,3,4,1,620.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,6.0
0,1237.0,4.0,34.0,372,Full House,2,3,0,618.5,2.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,3.0
0,1580.0,3.0,49.0,372,Full House,3,4,1,526.7,1.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,1.0,4.0
0,1668.0,8.0,52.0,360,Full House,3,4,1,556.0,2.7,2.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,6.0
0,2540.0,7.0,73.0,372,Full House,4,5,1,635.0,1.8,0.0,0.0,3.0,0.0,0.0,4.0,0.0,2.0,8.0
0,1609.0,4.0,52.0,372,Full House,3,4,1,536.3,1.3,0.0,0.0,3.0,0.0,3.0,0.0,0.0,1.0,7.0
0,793.0,5.0,32.0,296,Straight,2,3,0,396.5,2.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,5.0
0,2022.0,4.0,58.0,368,Full House,3,4,1,674.0,1.3,3.0,0.0,3.0,0.0,2.0,1.0,0.0,1.0,4.0
0,1676.0,6.0,49.0,368,Full House,3,4,1,558.7,2.0,1.0,0.0,3.0,0.0,0.0,2.0,0.0,1.0,4.0
0,1674.0,1.0,55.0,356,Full House,3,4,1,558.0,0.3,2.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,5.0
0,369.0,2.0,16.0,324,Straight,1,2,0,369.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,0.0
0,1164.0,5.0,37.0,360,Full House,2,3,0,582.0,2.5,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,5.0
0,1580.0,6.0,48.0,368,Full House,3,4,1,526.7,2.0,0.0,0.0,3.0,0.0,2.0,2.0,0.0,1.0,4.0
0,1076.0,3.0,41.0,324,Straight,2,3,0,538.0,1.5,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,7.0
0,497.0,1.0,15.0,308,Straight,1,2,0,497.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0
0,1456.0,3.0,46.0,332,Full House,3,4,1,485.3,1.0,2.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,3.0
0,2616.0,4.0,68.0,372,Full House,4,5,1,654.0,1.0,2.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,7.0
0,464.0,1.0,25.0,360,Full House,1,2,0,464.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0
